Year,Field_ID,Altitude_m,Annual_Rainfall_mm_year,Spring_Rainfall_mm_season,Summer_Max_Temp_C_avg,Frost_Days_count,Irrigation_L_per_tree,Tree_Age_Years,Tree_Density_per_hectare,Fertilizer_20_20_20_kg_per_tree,Soil_Type,Pest_Pressure_Index,Pruning_Intensity,Oil_Yield_kg_per_hectare,Olives_Produced_kg_per_hectare
2015,Ammatour_2_Field_4,1040.4,1147.3604,289.2651,23.9,44.09,529.88,38,250,6.54,Sandy_Loam,4.04,Heavy,1558.777141,6503.2426
2015,Ammatour_2_Field_5,966.1,1081.6089,254.3022,26.8,37.07,0.0,117,100,4.86,Sandy_Loam,2.34,Moderate,863.637777,4355.1588
2015,Ammatour_2_Field_6,951.7,1268.8445,305.1361,24.9,31.6,0.0,110,200,2.85,Sandy_Loam,3.71,Moderate,1252.588758,5278.8281
2015,Ammatour_2_Field_7,912.3,891.4493,196.6373,29.1,36.44,797.38,94,250,4.49,Sandy_Loam,5.53,Moderate,799.524317,4708.6548
2015,Ammatour_2_Field_8,856.3,902.5735,246.0684,29.6,21.98,0.0,27,300,6.33,Loam,3.45,Heavy,860.370459,4225.6065
2015,Ammatour_2_Field_9,967.5,1106.5243,260.0811,26.4,46.45,0.0,68,200,6.53,Clay,3.57,Heavy,1093.241429,4808.8819
2015,Ammatour_2_Field_10,983.9,1003.2174,272.2043,27.8,38.3,1152.51,73,100,5.2,Sandy_Loam,7.64,Heavy,665.887034,3694.0374
2016,Ammatour_1_Field_1,947.0,1138.7353,306.6088,26.8,27.03,674.51,43,250,2.68,Loam,4.28,Heavy,1488.244264,5774.0446
2016,Ammatour_1_Field_2,974.8,986.2124,219.0531,26.0,37.93,583.98,48,300,3.57,Loam,6.99,Moderate,779.17984,3765.5826
2016,Ammatour_1_Field_3,847.0,1021.8844,279.8711,30.0,25.45,1058.45,107,200,3.7,Clay,6.1,Moderate,812.337722,4599.5516
2016,Ammatour_1_Field_4,811.0,1007.8124,279.1281,29.4,13.12,0.0,90,250,4.71,Loam,2.02,Moderate,739.562322,4177.2907
2016,Ammatour_1_Field_5,851.3,1099.8449,268.1362,28.6,21.62,648.62,50,200,4.21,Sandy_Loam,5.2,Moderate,1198.397419,6035.1734
2016,Ammatour_1_Field_6,826.5,1149.2752,257.2188,28.4,16.0,1041.59,82,300,4.52,Loam,4.64,Moderate,1464.261165,7073.4993
2016,Ammatour_1_Field_7,981.8,936.9716,258.7429,27.4,34.87,0.0,75,150,4.75,Clay,4.29,Light,506.734722,2954.9412
2016,Ammatour_1_Field_8,969.9,1162.7936,304.8234,24.7,34.82,514.19,25,100,6.16,Clay,4.62,Light,869.626912,3588.9829
2016,Ammatour_1_Field_9,918.5,903.3783,245.6946,28.0,38.95,0.0,78,150,4.41,Loam,2.56,Moderate,711.570678,3760.4026
2016,Ammatour_1_Field_10,912.1,1044.6625,287.7406,27.0,25.77,673.32,107,300,5.68,Loam,4.26,Heavy,1606.713568,7028.4514
2016,Ammatour_2_Field_1,804.8,1106.0459,250.2115,28.9,19.91,0.0,75,250,6.21,Clay,4.61,Heavy,1520.976587,7305.6619
2016,Ammatour_2_Field_2,988.1,1099.792,259.873,25.7,46.45,604.28,41,200,2.82,Loam,4.07,Moderate,1144.621546,4438.0173
2016,Ammatour_2_Field_3,950.6,905.0409,214.2852,28.9,21.82,0.0,29,250,4.68,Clay,2.69,Light,696.510175,3884.8534
2016,Ammatour_2_Field_4,1040.4,1187.0603,276.4651,23.1,47.86,0.0,39,250,5.27,Sandy_Loam,0.91,Heavy,1525.61891,5786.1325
2016,Ammatour_2_Field_5,966.1,1172.4137,263.0784,26.1,40.57,833.99,118,100,1.5,Sandy_Loam,3.19,Moderate,1308.926475,5333.595
2016,Ammatour_2_Field_6,951.7,1093.2105,240.9026,29.0,30.16,1086.17,111,200,5.42,Sandy_Loam,5.13,Heavy,1623.661693,8545.1134
2016,Ammatour_2_Field_7,912.3,1202.2637,319.6909,28.4,33.58,0.0,95,250,6.3,Sandy_Loam,5.27,Light,1079.863248,5234.7275
2016,Ammatour_2_Field_8,856.3,663.5025,148.2506,29.0,21.43,0.0,28,300,5.64,Loam,4.27,Moderate,643.049848,4657.2392
2016,Ammatour_2_Field_9,967.5,888.9203,210.7801,25.1,46.88,875.64,69,200,2.27,Clay,3.01,Light,755.207563,4024.5692
2016,Ammatour_2_Field_10,983.9,1212.495,310.5488,26.6,38.52,781.76,74,100,3.22,Sandy_Loam,1.98,Light,1331.409989,5758.6162
2017,Ammatour_1_Field_1,947.0,1181.3368,283.8342,28.9,24.79,0.0,44,250,3.78,Loam,3.98,Heavy,1421.344979,6143.877
2017,Ammatour_1_Field_2,974.8,1024.4245,239.7061,27.0,44.23,0.0,49,300,4.67,Loam,2.57,Heavy,1282.793182,5547.3218
2017,Ammatour_1_Field_3,847.0,1011.2742,241.3936,30.0,21.12,0.0,108,200,2.38,Clay,4.12,Moderate,1025.248607,5688.0262
2017,Ammatour_1_Field_4,811.0,907.2055,224.8514,29.4,12.58,766.01,91,250,6.5,Loam,5.95,Heavy,1234.879483,6351.0914
2017,Ammatour_1_Field_5,851.3,975.0246,265.1312,29.4,24.29,706.76,51,200,6.24,Sandy_Loam,1.96,Moderate,1337.796053,7308.6166
2017,Ammatour_1_Field_6,826.5,1019.1131,242.3783,29.0,12.19,891.9,83,300,2.92,Loam,6.02,Heavy,1363.082075,7078.7472
2017,Ammatour_1_Field_7,981.8,1041.7232,285.1808,26.4,37.27,0.0,76,150,6.55,Clay,5.05,Moderate,935.851758,4418.4647
2017,Ammatour_1_Field_8,969.9,1163.5156,258.7039,27.7,22.6,527.14,26,100,3.41,Clay,5.07,Moderate,1199.261754,5133.3828
2017,Ammatour_1_Field_9,918.5,1123.0587,290.1647,28.3,27.36,0.0,79,150,6.42,Loam,5.4,Light,1052.50889,5201.9408
2017,Ammatour_1_Field_10,912.1,1100.6286,259.0822,26.4,42.91,922.27,108,300,3.97,Loam,4.35,Moderate,1492.71848,7845.7632
2017,Ammatour_2_Field_1,804.8,711.6514,157.7629,30.0,14.21,0.0,76,250,2.04,Clay,1.39,Light,353.759191,2236.4293
2017,Ammatour_2_Field_2,988.1,1027.6611,254.6903,28.5,34.1,952.61,42,200,3.83,Loam,3.44,Light,885.166974,4941.7453
2017,Ammatour_2_Field_3,950.6,1117.6818,247.1204,27.3,31.12,595.27,30,250,5.77,Clay,4.53,Moderate,1178.151038,5509.0287
2017,Ammatour_2_Field_4,1040.4,993.1865,223.8966,24.3,53.93,682.02,40,250,4.89,Sandy_Loam,4.86,Heavy,921.507211,3609.655
2017,Ammatour_2_Field_5,966.1,1001.0739,248.4185,27.0,37.71,1032.81,119,100,5.79,Sandy_Loam,6.85,Heavy,957.670311,4220.8431
2017,Ammatour_2_Field_6,951.7,1125.3497,283.6374,27.4,36.32,0.0,112,200,6.62,Sandy_Loam,2.56,Heavy,1112.691105,4411.8698
2017,Ammatour_2_Field_7,912.3,968.2136,267.7534,28.7,25.19,0.0,96,250,4.51,Sandy_Loam,1.91,Moderate,815.83292,4341.0333
2017,Ammatour_2_Field_8,856.3,1008.842,235.3605,28.1,19.2,0.0,29,300,6.65,Loam,5.37,Light,581.861803,3141.8948
2017,Ammatour_2_Field_9,967.5,1026.091,255.2478,25.2,31.77,0.0,70,200,3.54,Clay,3.21,Light,871.982706,3976.4184
2017,Ammatour_2_Field_10,983.9,1010.4179,268.9545,24.9,33.93,753.03,75,100,2.25,Sandy_Loam,2.02,Heavy,1312.840285,5027.8245
2018,Ammatour_1_Field_1,947.0,1000.0266,264.4067,27.8,35.51,952.64,45,250,2.96,Loam,6.49,Heavy,1105.151782,5728.9763
2018,Ammatour_1_Field_2,974.8,875.444,226.511,27.9,27.52,957.5,50,300,6.79,Loam,4.42,Light,806.808451,4549.1715
2018,Ammatour_1_Field_3,847.0,880.6,218.825,28.3,12.83,754.93,109,200,3.84,Clay,3.77,Moderate,859.962901,4827.0781
2018,Ammatour_1_Field_4,811.0,850.489,188.0973,29.3,21.69,1081.24,92,250,5.39,Loam,7.02,Heavy,905.337029,5605.4253
2018,Ammatour_1_Field_5,851.3,1143.2361,267.359,29.0,15.49,643.35,52,200,1.5,Sandy_Loam,5.06,Moderate,1126.559866,5265.413
2018,Ammatour_1_Field_6,826.5,967.297,236.1243,30.0,16.07,0.0,84,300,5.83,Loam,3.79,Heavy,967.578346,4412.4851
2018,Ammatour_1_Field_7,981.8,1142.4163,288.5791,27.2,38.38,784.55,77,150,3.18,Clay,5.83,Heavy,1175.992969,5161.8175
2018,Ammatour_1_Field_8,969.9,1456.2376,339.1594,25.6,36.29,0.0,27,100,4.14,Clay,6.02,Heavy,1271.477598,4572.4396
2018,Ammatour_1_Field_9,918.5,816.622,209.7805,30.0,30.41,1000.65,80,150,3.17,Loam,7.48,Heavy,557.746995,3276.6955
2018,Ammatour_1_Field_10,912.1,843.2745,209.5686,27.9,28.75,0.0,109,300,2.17,Loam,1.5,Heavy,995.149344,5104.4946
2018,Ammatour_2_Field_1,804.8,999.6108,242.2027,30.0,24.55,0.0,77,250,4.51,Clay,2.0,Moderate,1050.448181,5302.9648
2018,Ammatour_2_Field_2,988.1,1051.3117,289.0529,25.3,38.51,883.43,43,200,5.0,Loam,4.7,Heavy,1599.808674,5992.5319
2018,Ammatour_2_Field_3,950.6,1187.3668,269.6417,26.2,37.04,0.0,31,250,5.0,Clay,7.48,Moderate,1051.267874,4768.6716
2018,Ammatour_2_Field_4,1040.4,1162.4909,318.3227,26.8,42.6,912.35,41,250,4.35,Sandy_Loam,2.18,Heavy,1800.380328,6866.5495
2018,Ammatour_2_Field_5,966.1,989.6995,220.9499,28.3,32.64,1149.99,120,100,3.71,Sandy_Loam,9.43,Light,454.364898,3665.96
2018,Ammatour_2_Field_6,951.7,1053.9372,286.6343,28.3,44.22,0.0,113,200,5.96,Sandy_Loam,2.33,Moderate,1129.86995,5023.9967
2018,Ammatour_2_Field_7,912.3,884.8313,245.2078,30.0,25.48,0.0,97,250,2.83,Sandy_Loam,6.3,Heavy,760.976609,4262.331
2018,Ammatour_2_Field_8,856.3,925.2044,202.5261,29.2,29.27,606.93,30,300,6.15,Loam,4.31,Heavy,1344.994471,6652.1703
2018,Ammatour_2_Field_9,967.5,1126.8325,263.5081,25.5,26.94,0.0,71,200,5.46,Clay,2.28,Light,1180.648784,5155.696
2018,Ammatour_2_Field_10,983.9,952.5251,262.9063,25.5,33.72,0.0,76,100,2.1,Sandy_Loam,2.85,Heavy,891.944667,4502.9149
2019,Ammatour_1_Field_1,947.0,1082.9994,273.3749,27.0,35.75,506.99,46,250,4.21,Loam,5.71,Light,1146.165705,5705.9276
2019,Ammatour_1_Field_2,974.8,1374.4007,354.3002,25.5,38.16,828.45,51,300,3.64,Loam,6.23,Light,1423.591569,5868.9806
2019,Ammatour_1_Field_3,847.0,1157.8502,276.6376,29.1,17.37,923.15,110,200,1.77,Clay,0.79,Light,1310.325568,6025.2022
2019,Ammatour_1_Field_4,811.0,911.4213,231.3553,30.0,23.41,893.54,93,250,3.7,Loam,4.62,Heavy,1497.638308,8090.0406
2019,Ammatour_1_Field_5,851.3,945.6536,219.3384,28.3,10.0,0.0,53,200,3.34,Sandy_Loam,4.76,Moderate,733.758975,4129.8047
2019,Ammatour_1_Field_6,826.5,1087.6209,240.7802,28.9,19.78,0.0,85,300,5.36,Loam,2.11,Heavy,1746.414559,8139.2637
2019,Ammatour_1_Field_7,981.8,1165.4064,262.7266,27.7,32.35,912.23,78,150,7.0,Clay,4.87,Heavy,1924.491421,7934.5527
2019,Ammatour_1_Field_8,969.9,930.2864,244.6216,27.6,45.78,0.0,28,100,5.62,Clay,2.58,Heavy,839.046826,3760.6414
2019,Ammatour_1_Field_9,918.5,1131.8009,308.4502,28.8,37.12,0.0,81,150,2.99,Loam,3.22,Heavy,1265.134319,6031.137
2019,Ammatour_1_Field_10,912.1,1120.661,289.5153,26.9,28.0,978.34,110,300,6.24,Loam,7.41,Heavy,1888.644183,8247.5591
2019,Ammatour_2_Field_1,804.8,917.1142,209.8036,30.0,21.99,770.54,78,250,6.06,Clay,2.82,Moderate,1163.777552,6001.1758
2019,Ammatour_2_Field_2,988.1,1143.6705,259.5926,28.0,34.47,672.74,44,200,4.03,Loam,6.75,Heavy,1317.701616,5581.3064
2019,Ammatour_2_Field_3,950.6,1130.0356,307.6589,26.9,31.9,645.29,32,250,4.06,Clay,3.43,Light,1240.074227,6033.0838
2019,Ammatour_2_Field_4,1040.4,1290.1326,348.4581,25.5,37.58,0.0,42,250,5.45,Sandy_Loam,6.46,Moderate,847.5376,3614.7987
2019,Ammatour_2_Field_5,966.1,1004.6804,230.8701,26.0,39.19,0.0,121,100,4.73,Sandy_Loam,2.69,Heavy,794.395205,3473.3758
2019,Ammatour_2_Field_6,951.7,1010.7705,279.4426,27.6,42.88,1042.72,114,200,4.13,Sandy_Loam,7.66,Heavy,671.793302,3747.0652
2019,Ammatour_2_Field_7,912.3,1117.5074,294.3518,28.8,41.97,0.0,98,250,4.55,Sandy_Loam,2.67,Heavy,1082.134183,4784.2428
2019,Ammatour_2_Field_8,856.3,802.8057,223.0264,27.0,18.67,655.19,31,300,2.89,Loam,2.41,Heavy,977.784771,4510.3898
2019,Ammatour_2_Field_9,967.5,912.3045,245.5511,27.5,30.38,0.0,72,200,2.5,Clay,4.72,Light,420.331573,2339.5689
2019,Ammatour_2_Field_10,983.9,1036.4009,238.2752,27.9,41.94,0.0,77,100,4.55,Sandy_Loam,3.25,Light,512.275689,2659.7901
2020,Ammatour_1_Field_1,947.0,897.1535,218.3884,26.0,29.3,779.26,47,250,5.39,Loam,5.35,Moderate,957.022813,5009.1418
2020,Ammatour_1_Field_2,974.8,885.0016,224.2004,28.1,36.3,0.0,52,300,6.35,Loam,4.36,Heavy,881.535864,4409.9528
2020,Ammatour_1_Field_3,847.0,907.2355,212.5339,28.0,20.18,713.86,111,200,1.5,Clay,2.2,Heavy,1092.503498,5296.7748
2020,Ammatour_1_Field_4,811.0,903.8184,237.6296,29.5,11.89,1145.41,94,250,4.27,Loam,4.27,Moderate,957.421989,5804.6033
2020,Ammatour_1_Field_5,851.3,1134.2957,286.2989,27.0,16.47,973.2,54,200,4.32,Sandy_Loam,4.92,Heavy,1471.176482,6589.1994
2020,Ammatour_1_Field_6,826.5,972.5127,254.9032,29.4,10.0,1196.73,86,300,5.33,Loam,9.31,Heavy,791.369964,4227.6258
2020,Ammatour_1_Field_7,981.8,1198.1689,294.2672,25.2,36.86,0.0,79,150,4.83,Clay,5.77,Heavy,1192.653325,4332.3435
2020,Ammatour_1_Field_8,969.9,847.5221,203.9305,28.2,42.67,683.34,29,100,2.29,Clay,1.77,Moderate,563.939351,2839.2015
2020,Ammatour_1_Field_9,918.5,1021.2456,265.5114,26.3,34.37,867.09,82,150,4.17,Loam,3.93,Heavy,1539.381928,6463.5089
2020,Ammatour_1_Field_10,912.1,1076.1487,250.5372,28.8,23.18,941.32,111,300,4.91,Loam,4.16,Heavy,1539.575328,7350.7339
2020,Ammatour_2_Field_1,804.8,903.3792,226.2448,30.0,20.4,925.51,79,250,5.5,Clay,2.79,Moderate,1421.413287,9362.4271
2020,Ammatour_2_Field_2,988.1,929.1812,233.9953,28.5,40.7,948.0,45,200,4.38,Loam,7.52,Moderate,852.014061,4840.6537
2020,Ammatour_2_Field_3,950.6,906.9367,207.0592,24.6,31.32,0.0,33,250,3.67,Clay,4.53,Heavy,933.689222,4060.9608
2020,Ammatour_2_Field_4,1040.4,1372.6972,357.0993,25.6,46.39,0.0,43,250,6.18,Sandy_Loam,7.35,Moderate,1486.718883,5289.5189
2020,Ammatour_2_Field_5,966.1,818.9167,184.5542,27.0,39.32,1193.23,122,100,3.0,Sandy_Loam,9.9,Heavy,686.19567,3872.3323
2020,Ammatour_2_Field_6,951.7,763.3569,199.8892,24.5,20.24,1113.4,115,200,4.89,Sandy_Loam,5.95,Heavy,992.411503,4578.9296
2020,Ammatour_2_Field_7,912.3,1056.3004,282.2251,28.2,25.93,681.94,99,250,3.83,Sandy_Loam,4.86,Moderate,1549.780952,7522.7017
2020,Ammatour_2_Field_8,856.3,1037.0419,266.7355,29.4,25.69,0.0,32,300,5.37,Loam,2.08,Light,929.580114,5387.0035
2020,Ammatour_2_Field_9,967.5,1282.7593,311.0648,26.6,20.98,0.0,73,200,3.29,Clay,4.57,Moderate,1369.878848,5505.2091
2020,Ammatour_2_Field_10,983.9,1325.168,341.917,28.3,27.69,900.25,78,100,5.81,Sandy_Loam,3.76,Heavy,1813.650815,7261.2208
2021,Ammatour_1_Field_1,947.0,1204.1884,274.6721,27.1,34.39,883.65,48,250,4.49,Loam,3.62,Light,1574.943041,6763.4623
2021,Ammatour_1_Field_2,974.8,1085.1342,280.8586,26.0,30.07,723.7,53,300,5.67,Loam,3.5,Light,1562.708813,7476.2838
2021,Ammatour_1_Field_3,847.0,1026.6191,239.7548,30.0,23.15,894.4,112,200,2.62,Clay,2.91,Moderate,1320.411458,6146.4617
2021,Ammatour_1_Field_4,811.0,833.2011,217.0753,29.7,10.0,0.0,95,250,5.04,Loam,4.38,Heavy,755.611714,4567.8359
2021,Ammatour_1_Field_5,851.3,1082.3333,302.2083,27.2,30.49,565.01,55,200,5.92,Sandy_Loam,1.45,Moderate,1693.269024,7021.2456
2021,Ammatour_1_Field_6,826.5,1114.5479,293.087,25.7,20.63,699.21,87,300,6.65,Loam,1.52,Moderate,2138.069132,7608.7839
2021,Ammatour_1_Field_7,981.8,1090.9976,287.2744,23.4,40.19,1079.15,80,150,3.49,Clay,5.82,Moderate,1215.754637,5561.1648
2021,Ammatour_1_Field_8,969.9,1071.8714,269.8678,25.7,31.87,600.84,30,100,5.8,Clay,2.87,Moderate,1395.824938,6074.6574
2021,Ammatour_1_Field_9,918.5,816.5854,195.3964,27.2,28.67,861.55,83,150,6.4,Loam,6.33,Moderate,989.97717,5034.3252
2021,Ammatour_1_Field_10,912.1,1127.9167,265.0792,29.7,37.21,796.78,112,300,3.54,Loam,4.99,Light,1142.044036,6339.642
2021,Ammatour_2_Field_1,804.8,892.3446,218.1112,30.0,10.0,0.0,80,250,5.66,Clay,3.78,Heavy,695.263641,4111.5457
2021,Ammatour_2_Field_2,988.1,1093.126,257.5065,27.7,43.79,0.0,46,200,4.06,Loam,2.45,Moderate,759.878227,3501.5694
2021,Ammatour_2_Field_3,950.6,949.9722,225.743,25.8,50.19,420.9,34,250,5.7,Clay,1.28,Heavy,1169.62785,5119.9571
2021,Ammatour_2_Field_4,1040.4,914.7358,223.009,25.8,35.29,727.76,44,250,5.33,Sandy_Loam,4.67,Moderate,970.270731,4321.2302
2021,Ammatour_2_Field_5,966.1,1044.9211,255.7803,25.2,32.61,1087.7,123,100,2.79,Sandy_Loam,9.78,Heavy,841.038253,4223.341
2021,Ammatour_2_Field_6,951.7,1187.6576,317.7144,28.4,31.56,0.0,116,200,3.83,Sandy_Loam,1.93,Heavy,1279.462332,5020.638
2021,Ammatour_2_Field_7,912.3,1137.0526,254.6132,30.0,37.16,0.0,100,250,6.67,Sandy_Loam,2.15,Heavy,1315.68627,6307.9179
2021,Ammatour_2_Field_8,856.3,1016.2116,232.0779,28.6,22.81,0.0,33,300,4.33,Loam,5.8,Moderate,843.963335,4507.8928
2021,Ammatour_2_Field_9,967.5,772.9916,188.6479,29.1,39.15,1102.44,74,200,4.5,Clay,4.76,Heavy,616.661746,3206.7851
2021,Ammatour_2_Field_10,983.9,1018.2828,283.4707,25.3,42.5,0.0,79,100,3.67,Sandy_Loam,3.28,Heavy,842.992789,3858.5127
2022,Ammatour_1_Field_1,947.0,1152.5969,301.7492,25.3,22.93,814.31,49,250,4.59,Loam,4.36,Light,1190.433661,5131.8333
2022,Ammatour_1_Field_2,974.8,1231.8296,288.3074,28.9,19.57,674.99,54,300,4.81,Loam,5.0,Light,1248.183506,5548.6493
2022,Ammatour_1_Field_3,847.0,849.5136,238.4034,29.9,21.78,776.15,113,200,2.15,Clay,2.16,Moderate,889.085017,5657.1293
2022,Ammatour_1_Field_4,811.0,1099.2956,265.9739,30.0,16.17,1031.36,96,250,4.13,Loam,6.83,Light,890.729694,5198.6436
2022,Ammatour_1_Field_5,851.3,1072.4256,248.6064,28.5,23.68,0.0,56,200,4.78,Sandy_Loam,5.18,Light,775.360999,4029.0556
2022,Ammatour_1_Field_6,826.5,1118.7266,253.9317,28.1,22.17,1057.14,88,300,6.36,Loam,8.64,Moderate,1281.921616,6172.9972
2022,Ammatour_1_Field_7,981.8,1224.6613,286.4903,28.5,51.17,741.45,81,150,3.84,Clay,5.43,Heavy,1103.660948,5260.863
2022,Ammatour_1_Field_8,969.9,868.4791,192.6198,29.9,28.26,0.0,31,100,5.65,Clay,5.39,Light,379.539807,2672.7226
2022,Ammatour_1_Field_9,918.5,982.4441,219.011,28.0,25.1,0.0,84,150,4.59,Loam,0.54,Heavy,1070.356013,4619.1966
2022,Ammatour_1_Field_10,912.1,1045.9996,274.4249,28.8,26.29,881.69,113,300,3.55,Loam,2.12,Moderate,1402.763062,6558.553
2022,Ammatour_2_Field_1,804.8,846.9591,187.7898,30.0,10.0,759.56,81,250,5.24,Clay,5.58,Light,758.489532,4529.0458
2022,Ammatour_2_Field_2,988.1,1244.6715,295.6929,26.0,32.36,672.76,47,200,3.89,Loam,4.11,Heavy,1909.843665,7367.0316
2022,Ammatour_2_Field_3,950.6,1073.502,266.6005,26.0,33.46,0.0,35,250,5.68,Clay,5.61,Moderate,1184.788863,5627.3616
2022,Ammatour_2_Field_4,1040.4,1027.4301,250.5575,24.6,41.06,478.18,45,250,5.45,Sandy_Loam,0.74,Heavy,1631.792146,6159.0304
2022,Ammatour_2_Field_5,966.1,914.499,214.3747,27.5,35.67,903.23,124,100,6.23,Sandy_Loam,1.36,Moderate,1199.90049,5664.9934
2022,Ammatour_2_Field_6,951.7,861.1343,228.4586,26.3,44.6,0.0,117,200,3.95,Sandy_Loam,6.57,Light,421.764774,2465.7539
2022,Ammatour_2_Field_7,912.3,1109.7691,294.2423,27.0,18.01,0.0,101,250,3.52,Sandy_Loam,4.41,Heavy,1564.258456,6130.1325
2022,Ammatour_2_Field_8,856.3,1113.177,308.9943,28.3,25.76,0.0,34,300,6.08,Loam,4.07,Moderate,1491.697171,6807.8146
2022,Ammatour_2_Field_9,967.5,777.6401,198.46,26.1,30.5,0.0,75,200,6.73,Clay,3.76,Heavy,842.219576,4256.5738
2022,Ammatour_2_Field_10,983.9,1045.1155,239.8039,24.7,33.55,961.25,80,100,3.91,Sandy_Loam,4.93,Moderate,1175.936239,5042.909
2023,Ammatour_1_Field_1,947.0,1156.1853,310.0213,27.9,24.13,0.0,50,250,5.38,Loam,6.68,Moderate,1255.676966,6474.4483
2023,Ammatour_1_Field_2,974.8,1419.5569,385.7642,28.5,41.23,0.0,55,300,4.16,Loam,4.61,Light,1168.915057,5087.0445
2023,Ammatour_1_Field_3,847.0,947.8399,231.785,27.6,11.16,0.0,114,200,3.42,Clay,3.08,Moderate,956.212201,4374.8777
2023,Ammatour_1_Field_4,811.0,1083.9452,249.2113,28.7,14.08,0.0,97,250,4.27,Loam,4.25,Moderate,1115.36654,5883.0637
2023,Ammatour_1_Field_5,851.3,707.515,184.8288,28.4,22.37,0.0,57,200,2.38,Sandy_Loam,4.26,Heavy,963.232985,4934.5619
2023,Ammatour_1_Field_6,826.5,1216.6372,337.8593,27.5,18.39,0.0,89,300,2.15,Loam,3.67,Light,1316.48443,6156.9185
2023,Ammatour_1_Field_7,981.8,1113.3063,308.9266,25.8,32.43,1035.58,82,150,7.0,Clay,7.23,Light,1137.040215,5171.2839
2023,Ammatour_1_Field_8,969.9,1122.7067,276.4017,25.5,35.26,0.0,32,100,4.38,Clay,1.28,Moderate,1025.311219,3816.1009
2023,Ammatour_1_Field_9,918.5,894.1131,234.3783,27.7,23.07,0.0,85,150,2.96,Loam,1.87,Moderate,908.893674,4655.0296
2023,Ammatour_1_Field_10,912.1,825.1816,184.4704,28.6,32.45,0.0,114,300,5.09,Loam,1.45,Heavy,1062.601661,5509.1947
2023,Ammatour_2_Field_1,804.8,844.0452,215.1613,28.8,18.16,1190.69,82,250,3.86,Clay,9.9,Light,426.948293,3219.1183
2023,Ammatour_2_Field_2,988.1,1079.0854,269.4214,25.9,31.12,484.12,48,200,4.05,Loam,3.72,Heavy,1410.419716,6120.4715
2023,Ammatour_2_Field_3,950.6,1186.9054,286.8764,25.6,31.96,495.17,36,250,6.16,Clay,0.71,Heavy,1950.854001,7295.5806
2023,Ammatour_2_Field_4,1040.4,1117.0303,264.4576,25.2,40.58,0.0,46,250,5.88,Sandy_Loam,5.55,Moderate,859.276548,3635.1804
2023,Ammatour_2_Field_5,966.1,1128.5778,273.7694,26.9,39.43,863.71,125,100,3.45,Sandy_Loam,6.78,Heavy,1106.271025,4774.5803
2023,Ammatour_2_Field_6,951.7,894.273,222.2682,25.7,44.85,0.0,118,200,5.96,Sandy_Loam,5.81,Moderate,606.51824,2750.3436
2023,Ammatour_2_Field_7,912.3,1192.7273,281.8318,29.3,20.1,0.0,102,250,4.12,Sandy_Loam,2.1,Heavy,1314.665602,5836.8374
2023,Ammatour_2_Field_8,856.3,1011.9688,268.8922,27.6,21.48,608.07,35,300,5.9,Loam,4.0,Light,1119.353255,4981.5081
